values	weights
Greta	1
Grethe	1
GĂĽl	1
GĂĽlsu	1
GĂĽlsĂĽm	1
Hafsa	1
Hailey	1
Haily	1
Hamide	1
Hamlet	1
Haru	1
Hassan	1
Haura	1
Hava	1
Hayk	1
HaĂ§er	1
Helenia	1
Hermine	1
Hien	1
Hilde	1
Hivda	1
HĂĽma	1
HĂĽmeyra	1
Ilaria	1
Ileya	1
Ilgizovna	1
Imade	1
Imah	1
Imani	1
Imogen	1
Ina	1
Inaya	1
InaĂŞ	1
Ines	1
Inge	1
Ingrid	1
IonuČ›	1
Iphigenie	1
Irem	1
Ireoluwa	1
Irina	1
Iris	1
Isa	1
Isabelle	1
Isalie	1
Iskra	1
Isla	1
Itha	1
Ivanovna	1
IĹˇtar	1
Jael	1
Jamal	1
Jatziri	1
Jiahe	1
Jill	1
Jiyoon	1
Jo	1
Joan	1
Jolana	1
Jolanta	1
Jordyn	1
Josefin	1
Josefina	1
JosĂephine	1
Joy	1
Joyce	1
Juli	1
July	1
Juna	1
Justina	1
Kaia	1
Kalea	1
Kali	1
Kamila	1
Kassandra	1
Katrina	1
Kay	1
Kerstin	1
Khaled	1
Khaula	1
Kiana	1
Kim	1
Koho	1
Kristin	1
Kyma	1
KĂ¤the	1
Laetitia	1
Latchezar	1
Laui-Malu	1
Laura	1
Laureen	1
Laurent	1
Lavin	1
Leandra	1
Leia	1
Leila	1
Leilani	1
Leonore	1
Leonroa	1
Leposava	1
Leyla	1
Liesa	1
Lili	1
Lilia	1
Lilian	1
Liliane	1
Lilijana	1
Lilly	1
Lilo	1
Liloz	1
Lily	1
Lina-Marie	1
Line	1
Liry	1
Lissi	1
Lola	1
Lucie	1
LucĂ­a	1
Luiza	1
Lumi	1
Luzia	1
LuĂ§Ă¬a	1
Lydija	1
LĂşcia	1
Madeleine	1
Mae	1
Maela	1
Maelle	1
Magdalene	1
Magnolia	1
Maja	1
Makaya	1
Makeba	1
Maksimovna	1
Malie	1
Maliha	1
Maliya	1
Manuela	1
Mare	1
Marelie	1
Maresa	1
Maret	1
Marga	1
Margit	1
Margo	1
Margot	1
Margret	1
Mari	1
Mariam	1
Marianna	1
Marie-Ange	1
Marie-Isabel	1
Marielene	1
Marija	1
Marin	1
Marinova	1
Marion	1
Marit	1
MarkĂeta	1
Marla	1
Marlena	1
Marliese	1
MarlĂ¨ne	1
MarlĂen	1
Marta	1
Mascha	1
Massiel	1
Mathea	1
Matilde	1
Maxie	1
Maxima	1
MaĂ­sa	1
Meeka	1
Meera	1
Melat	1
Melia	1
Melisa	1
Meliyah	1
MeliĂˇ	1
Meret	1
Merula	1
Meskerem	1
Michelle	1
Mieze	1
Mikhailovna	1
Milana	1
Mine	1
Minel	1
Miray	1
Miryam	1
Miya	1
Moana	1
Mohamed	1
Momoko	1
Monira	1
Mouna	1
Mulema	1
Mustafa	1
My	1
Nadeschda	1
Nadine	1
Nahla	1
Najia	1
Namika	1
Naomi	1
NarĂe	1
NataĹˇa	1
Nayeli	1
Nayla	1
Naz	1
Nazmiye	1
NaĂŻma	1
Nedime	1
Nele	1
Nelly	1
Nerea	1
Nerina	1
Neva	1
Ngoune	1
Nia	1
Nicole	1
Nik	1
Nike	1
Nikita	1
Nila	1
Nilani	1
Nimet	1
Nisa	1
Noir	1
Noralie	1
